timestamp,ticker,action,combined_score,ta_score,sent_score,momentum,quantity,price,status,detail,reason
2026-04-19T18:29:33.452829+00:00,AMD,BUY,0.65,0.8,0.5,0.5,1.3332,278.28,ERROR,429 Client Error: Too Many Requests for url: https://demo.trading212.com/api/v0/equity/portfolio,TA=0.800 SENT=0.500[none](0) MOM=0.500 → 0.650
2026-04-19T18:29:33.541033+00:00,AAPL,BUY,0.65,0.8,0.5,0.5,1.3731,270.185,ERROR,429 Client Error: Too Many Requests for url: https://demo.trading212.com/api/v0/equity/account/cash,TA=0.800 SENT=0.500[none](0) MOM=0.500 → 0.650
